b,g,r,clase
0,94,66,1
0,166,133,1
197,238,231,1
215,231,228,1
232,235,234,1
241,240,240,1
239,241,241,1
230,249,245,1
189,228,222,1
203,234,230,1
238,242,241,1
232,241,240,1
209,233,229,1
180,205,201,1
217,233,231,1
232,245,244,1
208,226,223,1
192,217,213,1
192,222,217,1
189,218,211,1
201,226,220,1
224,239,235,1
230,238,235,1
221,231,227,1
216,234,228,1
219,242,234,1
217,244,235,1
208,233,225,1
210,226,218,1
220,226,219,1
219,225,218,1
215,228,217,1
216,235,223,1
212,236,224,1
217,242,230,1
221,236,225,1
215,217,208,1
233,231,226,1
242,245,240,1
229,237,233,1
223,225,224,1
235,231,230,1
237,237,236,1
219,232,229,1
210,230,225,1
194,209,205,1
202,208,206,1
235,238,235,1
239,241,239,1
236,240,238,1
230,241,238,1
229,242,238,1
237,240,238,1
249,238,238,1
252,237,238,1
246,239,238,1
241,239,238,1
241,241,239,1
245,243,242,1
245,243,242,1
243,244,242,1
243,244,242,1
243,244,242,1
243,244,242,1
243,244,242,1
243,244,242,1
243,244,242,1
241,241,240,1
239,239,237,1
240,239,237,1
240,238,237,1
241,238,237,1
241,237,236,1
241,237,236,1
241,237,236,1
241,237,236,1
241,237,236,1
240,239,235,1
240,239,235,1
240,239,235,1
240,239,235,1
239,238,234,1
239,238,234,1
239,238,234,1
238,237,233,1
238,237,233,1
238,237,233,1
237,236,232,1
236,235,231,1
236,235,231,1
236,235,231,1
235,234,230,1
235,234,230,1
235,234,230,1
235,234,230,1
234,233,229,1
234,232,230,1
234,232,231,1
234,232,231,1
234,232,231,1
234,232,231,1
234,232,231,1
234,232,231,1
234,232,231,1
234,232,231,1
234,232,231,1
234,232,231,1
234,232,231,1
234,232,231,1
234,232,231,1
235,233,232,1
235,233,232,1
235,233,232,1
236,234,233,1
236,234,233,1
236,233,231,1
236,231,228,1
236,231,228,1
236,231,228,1
235,230,227,1
235,230,227,1
235,230,227,1
235,230,227,1
234,229,226,1
234,229,226,1
234,229,226,1
234,229,226,1
234,229,226,1
233,228,225,1
233,228,225,1
233,228,225,1
232,227,224,1
232,227,224,1
232,227,224,1
232,227,224,1
231,226,223,1
231,226,223,1
231,226,223,1
231,226,223,1
230,225,222,1
230,225,222,1
230,225,222,1
229,224,221,1
229,224,221,1
229,224,221,1
229,224,221,1
229,224,221,1
229,224,221,1
229,224,221,1
229,224,221,1
229,224,221,1
229,224,221,1
229,224,221,1
229,224,221,1
229,223,220,1
229,222,219,1
229,222,219,1
229,222,219,1
229,222,219,1
229,222,219,1
229,222,219,1
229,222,219,1
229,222,219,1
229,222,219,1
230,223,220,1
230,223,220,1
230,223,220,1
231,224,221,1
231,224,221,1
233,226,223,1
234,227,224,1
235,228,225,1
235,228,225,1
236,229,226,1
237,230,227,1
236,229,226,1
235,228,225,1
234,227,224,1
233,225,222,1
232,224,221,1
231,223,220,1
229,222,219,1
229,222,219,1
228,221,218,1
227,219,216,1
226,219,216,1
226,218,215,1
223,216,213,1
223,215,212,1
222,214,211,1
221,214,211,1
220,213,210,1
219,213,208,1
221,214,206,1
220,214,202,1
220,214,202,1
220,213,202,1
219,213,200,1
218,211,201,1
217,211,200,1
217,211,199,1
216,210,200,1
216,210,198,1
216,210,200,1
216,210,198,1
215,209,199,1
214,208,197,1
214,208,197,1
214,208,197,1
213,207,195,1
212,206,196,1
212,207,196,1
212,204,194,1
211,202,192,1
211,202,192,1
211,202,192,1
211,202,192,1
212,203,191,1
213,204,190,1
212,203,190,1
212,203,190,1
212,203,190,1
213,202,188,1
213,202,188,1
214,202,187,1
214,201,184,1
213,200,183,1
212,199,183,1
212,199,183,1
211,198,182,1
211,198,182,1
210,197,182,1
206,194,180,1
205,193,181,1
206,193,181,1
207,192,181,1
206,192,179,1
205,192,178,1
204,191,177,1
206,190,177,1
205,189,177,1
205,189,175,1
205,189,173,1
205,188,172,1
203,187,170,1
202,186,169,1
203,185,168,1
203,185,168,1
202,184,167,1
201,183,166,1
201,183,164,1
200,181,163,1
199,180,160,1
199,180,159,1
199,180,159,1
198,179,158,1
197,179,156,1
196,178,155,1
196,178,154,1
196,178,153,1
196,178,152,1
195,178,152,1
195,178,152,1
195,178,151,1
194,177,150,1
194,177,150,1
194,177,150,1
194,177,150,1
193,177,148,1
193,177,148,1
194,175,149,1
195,174,149,1
196,174,148,1
0,102,74,1
0,132,99,1
0,126,100,1
176,217,212,1
203,219,216,1
226,232,231,1
233,240,239,1
231,243,240,1
226,249,245,1
189,229,223,1
200,229,225,1
242,236,237,1
231,236,235,1
203,231,226,1
170,205,200,1
195,228,223,1
212,242,238,1
193,220,216,1
193,219,215,1
207,240,234,1
183,223,215,1
171,208,200,1
204,226,221,1
229,239,236,1
224,233,230,1
219,232,227,1
218,237,229,1
211,236,228,1
204,230,221,1
206,226,218,1
208,223,215,1
205,221,212,1
207,229,217,1
200,227,214,1
202,233,220,1
217,246,233,1
216,233,222,1
207,208,200,1
230,226,221,1
237,240,236,1
231,239,235,1
227,232,230,1
232,234,233,1
233,242,240,1
209,232,226,1
179,210,203,1
173,198,193,1
